Branch,CGPA,Python,Java,SQL,Projects,Internship,Certifications,Company
IT,9.38,No,No,No,3,No,5,Capgemini
CE,6.93,No,No,Yes,5,No,3,Wipro
CSE,7.53,Yes,No,No,4,No,3,HCL
ECE,8.24,Yes,Yes,No,5,No,0,TCS
IT,7.56,Yes,Yes,Yes,1,Yes,3,HCL
CSE,8.05,Yes,No,No,4,Yes,1,HCL
IT,6.52,Yes,No,Yes,2,No,0,Wipro
ECE,9.62,Yes,No,Yes,4,No,3,Accenture
IT,9.53,No,No,Yes,4,No,2,Cognizant
IT,7.44,No,Yes,No,4,Yes,5,Wipro
ECE,7.42,No,Yes,Yes,2,Yes,3,HCL
ECE,8.9,Yes,No,No,3,No,3,Cognizant
ECE,9.33,No,Yes,No,4,Yes,2,Deloitte
ME,9.4,No,Yes,No,2,No,3,Capgemini
CSE,7.82,No,Yes,No,2,Yes,3,HCL
CE,8.75,Yes,No,Yes,4,Yes,0,Capgemini
ME,7.61,No,No,No,4,No,3,TCS
CSE,8.1,Yes,No,Yes,1,Yes,0,TCS
ECE,9.35,Yes,Yes,Yes,4,Yes,4,IBM
ME,8.88,No,Yes,Yes,2,No,0,HCL
CSE,9.66,No,No,Yes,1,Yes,0,Infosys
EEE,9.39,Yes,Yes,No,5,No,5,Deloitte
CSE,8.22,No,Yes,No,4,Yes,3,Capgemini
IT,9.53,No,Yes,No,2,No,4,Infosys
ME,8.08,No,No,Yes,1,No,3,Tech Mahindra
ME,8.44,No,No,Yes,4,No,1,Wipro
ECE,7.71,No,No,No,5,No,4,TCS
CE,9.72,Yes,Yes,No,4,Yes,5,Deloitte
IT,8.92,No,Yes,Yes,3,Yes,3,Infosys
ECE,7.54,No,No,No,4,No,2,Wipro
ME,7.42,No,Yes,Yes,2,No,0,Wipro
CE,9.73,Yes,Yes,Yes,4,No,5,Accenture
CE,8.53,Yes,Yes,No,2,No,1,Wipro
CSE,8.91,Yes,No,Yes,1,No,5,Cognizant
IT,9.45,No,Yes,Yes,5,No,3,Deloitte
ME,7.66,Yes,No,No,1,Yes,3,Wipro
CSE,8.46,Yes,Yes,Yes,5,No,0,Cognizant
CSE,8.4,No,Yes,No,4,No,2,HCL
ME,7.54,Yes,Yes,Yes,2,No,5,TCS
ECE,7.32,Yes,Yes,Yes,4,No,5,HCL
ME,7.49,Yes,No,No,4,Yes,5,TCS
EEE,9.18,Yes,No,Yes,5,Yes,5,IBM
EEE,9.31,Yes,Yes,Yes,3,No,3,IBM
ME,8.84,No,No,No,4,Yes,4,Cognizant
ME,9,No,Yes,Yes,2,Yes,5,Deloitte
CE,6.64,Yes,No,No,3,Yes,4,TCS
IT,9.27,Yes,No,No,4,No,2,Infosys
CSE,9.42,No,No,No,3,No,4,Cognizant
ME,6.8,No,No,Yes,4,Yes,5,Wipro
ME,7.91,Yes,No,No,4,Yes,1,Wipro
CE,6.95,No,No,No,1,Yes,5,Wipro
ECE,8.91,No,Yes,No,1,Yes,0,Wipro
CSE,8.7,Yes,No,No,5,No,3,Capgemini
ME,7.33,Yes,No,Yes,5,Yes,0,Wipro
